category,count,primary_agent
Social / Narrative Intelligence,25296,Sentiment Scout
GeoMacro / War / Oil,4513,GeoMacro Sentinel
Market Data / Trading Tools,1090,Market Context Agent
Unknown / Needs Review,170,Source Librarian
Options Flow / Options Education,146,Options Flow Hunter
Research / Filings / Bear Case,143,Bear Case / Short Seller Agent
AI / Build / Automation,72,AI / Build Agent
Local Reference,26,File Intake Agent
Education / Strategy Vault,26,Learning Archivist
Crypto / On-chain,11,Crypto / Prediction Agent
Prediction Markets,7,Prediction Market Agent
Life / Ideas / Personal Research,4,Ideas Vault Agent
